,Ciudad,genero,edad,P1.1,P6 bien,P2.1,P7 bien,Rango_EH_media,Rango_EV_media,TEMP,HUMEDAD,sens_vis_term_orig,pref_vis_term_orig
160,Cartagena,M,18.0,-1.0,0.0,1.0,-1.0,1.0,1.0,27.9,48.3,0.0-1.01.0,-1.01.01.0
161,Cartagena,M,18.0,-1.0,0.0,1.0,-1.0,1.0,1.0,28.1,48.9,0.0-1.01.0,-1.01.01.0
162,Cartagena,F,17.0,-1.0,1.0,0.0,-3.0,1.0,1.0,29.5,61.7,1.0-1.01.0,-3.00.01.0
163,Cartagena,F,17.0,-1.0,2.0,2.0,-2.0,1.0,1.0,29.6,61.6,2.0-1.01.0,-2.02.01.0
164,Cartagena,F,17.0,-1.0,2.0,0.0,-1.0,1.0,1.0,29.5,60.6,2.0-1.01.0,-1.00.01.0
165,Cartagena,F,17.0,0.0,2.0,0.0,-2.0,1.0,1.0,29.5,59.9,2.00.01.0,-2.00.01.0
166,Cartagena,F,17.0,-1.0,2.0,0.0,-1.0,1.0,1.0,29.5,60.8,2.0-1.01.0,-1.00.01.0
167,Cartagena,F,18.0,-1.0,-1.0,1.0,-2.0,2.0,1.0,29.5,61.7,-1.0-1.01.0,-2.01.01.0
168,Cartagena,F,18.0,1.0,2.0,0.0,-2.0,2.0,1.0,29.6,61.6,2.01.01.0,-2.00.01.0
169,Cartagena,F,18.0,1.0,-1.0,1.0,-2.0,2.0,1.0,29.5,60.6,-1.01.01.0,-2.01.01.0
170,Cartagena,F,18.0,1.0,-1.0,0.0,-2.0,2.0,1.0,29.5,59.9,-1.01.01.0,-2.00.01.0
171,Cartagena,F,18.0,1.0,-1.0,0.0,-3.0,2.0,1.0,29.5,60.8,-1.01.01.0,-3.00.01.0
172,Cartagena,M,19.0,1.0,-1.0,1.0,-2.0,1.0,2.0,29.5,61.7,-1.01.02.0,-2.01.02.0
173,Cartagena,M,19.0,1.0,-1.0,1.0,-2.0,1.0,2.0,29.6,61.6,-1.01.02.0,-2.01.02.0
174,Cartagena,M,19.0,1.0,-1.0,1.0,-2.0,1.0,2.0,29.5,60.6,-1.01.02.0,-2.01.02.0
175,Cartagena,M,19.0,-1.0,-1.0,1.0,-3.0,1.0,2.0,29.5,59.9,-1.0-1.02.0,-3.01.02.0
176,Cartagena,M,19.0,-1.0,-1.0,2.0,-2.0,1.0,2.0,29.5,60.8,-1.0-1.02.0,-2.02.02.0
177,Cartagena,M,18.0,0.0,1.0,1.0,-3.0,1.0,1.0,28.5,62.0,1.00.01.0,-3.01.01.0
178,Cartagena,M,18.0,0.0,1.0,1.0,-2.0,1.0,1.0,28.3,61.8,1.00.01.0,-2.01.01.0
179,Cartagena,M,18.0,0.0,0.0,1.0,-2.0,1.0,1.0,28.1,60.8,0.00.01.0,-2.01.01.0
180,Cartagena,M,18.0,0.0,0.0,1.0,-2.0,1.0,1.0,28.0,61.2,0.00.01.0,-2.01.01.0
